;"Col";"Lag"
"Col";"TP";"FP"
"Lag";"FN";"TN"
;;
"Teste:";;
;"Col";"Lag"
"Col";544;22
"Lag";156;978
;;
"0.777143";"0.022000";
"0.222857";"0.978000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4942;176
"Lag";1358;8824
;;
"0.784444";"0.019556";
"0.215556";"0.980444";
;;
"Teste:";;
;"Col";"Lag"
"Col";539;21
"Lag";161;979
;;
"0.770000";"0.021000";
"0.230000";"0.979000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4939;173
"Lag";1361;8827
;;
"0.783968";"0.019222";
"0.216032";"0.980778";
;;
"Teste:";;
;"Col";"Lag"
"Col";540;21
"Lag";160;979
;;
"0.771429";"0.021000";
"0.228571";"0.979000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4939;175
"Lag";1361;8825
;;
"0.783968";"0.019444";
"0.216032";"0.980556";
;;
"Teste:";;
;"Col";"Lag"
"Col";542;19
"Lag";158;981
;;
"0.774286";"0.019000";
"0.225714";"0.981000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4945;172
"Lag";1355;8828
;;
"0.784921";"0.019111";
"0.215079";"0.980889";
;;
"Teste:";;
;"Col";"Lag"
"Col";545;22
"Lag";155;978
;;
"0.778571";"0.022000";
"0.221429";"0.978000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4935;173
"Lag";1365;8827
;;
"0.783333";"0.019222";
"0.216667";"0.980778";
;;
"Teste:";;
;"Col";"Lag"
"Col";545;23
"Lag";155;977
;;
"0.778571";"0.023000";
"0.221429";"0.977000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4939;176
"Lag";1361;8824
;;
"0.783968";"0.019556";
"0.216032";"0.980444";
;;
"Teste:";;
;"Col";"Lag"
"Col";540;20
"Lag";160;980
;;
"0.771429";"0.020000";
"0.228571";"0.980000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4936;170
"Lag";1364;8830
;;
"0.783492";"0.018889";
"0.216508";"0.981111";
;;
"Teste:";;
;"Col";"Lag"
"Col";543;20
"Lag";157;980
;;
"0.775714";"0.020000";
"0.224286";"0.980000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4945;172
"Lag";1355;8828
;;
"0.784921";"0.019111";
"0.215079";"0.980889";
;;
"Teste:";;
;"Col";"Lag"
"Col";541;23
"Lag";159;977
;;
"0.772857";"0.023000";
"0.227143";"0.977000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4948;171
"Lag";1352;8829
;;
"0.785397";"0.019000";
"0.214603";"0.981000";
;;
"Teste:";;
;"Col";"Lag"
"Col";541;21
"Lag";159;979
;;
"0.772857";"0.021000";
"0.227143";"0.979000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4937;178
"Lag";1363;8822
;;
"0.783651";"0.019778";
"0.216349";"0.980222";
;;
"Teste:";;
;"Col";"Lag"
"Col";519;213
"Lag";181;787
;;
"0.741429";"0.213000";
"0.258571";"0.787000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4744;1792
"Lag";1556;7208
;;
"0.753016";"0.199111";
"0.246984";"0.800889";
;;
"Teste:";;
;"Col";"Lag"
"Col";522;211
"Lag";178;789
;;
"0.745714";"0.211000";
"0.254286";"0.789000";
;;
"Treino:";;
;"Col";"Lag"
"Col";4732;1812
"Lag";1568;7188
;;
"0.751111";"0.201333";
"0.248889";"0.798667";
