t0;tinc;ta;n carac;acertos teste; % acertos(teste);acertos treino; % acertos(treino);;;
0,01;0,015;0,15;30;1457;85705882,00;15297;99.980.392;;0,999;0,85705882
0,01;0,015;0,15;20;1000;58823529,00;9000;58.823.529;;0,588;0,58823529
0,01;0,025;0,25;30;1457;85705882,00;15300;100.000.000;;1,000;0,85705882
0,01;0,025;0,25;20;1000;58823529,00;9000;58.823.529;;0,588;0,58823529
0,01;0,035;0,35;30;1445;85000000,00;15257;99.718.954;;0,997;0,85
0,01;0,035;0,35;20;1000;58823529,00;9000;58.823.529;;0,588;0,58823529
0,01;0,045;0,45;30;1463;86058824,00;15042;98.313.725;;0,983;0,86058824
0,01;0,045;0,45;20;1007;59235294,00;9124;59.633.987;;0,596;0,59235294
;;;;;;;;;;
;;;;1455,5;;15224;;;0,994831698;0,85617647
;;;;1001,75;;9031;;;0,590261435;0,589264703
