"t0";"tinc";"ta";"n carac";"acertos teste";"% acertos teste";"acertos treino";"% acertos treino"
0,01;0,015;0,15;30;1522;0,895294;13766;0,899739
0,01;0,015;0,15;20;1518;0,892941;13766;0,899739
0,01;0,035;0,35;30;1519;0,893529;13764;0,899608
0,01;0,035;0,35;20;1523;0,895882;13773;0,900196
0,01;0,05;0,5;30;1523;0,895882;13762;0,899477
0,01;0,05;0,5;20;1522;0,895294;13763;0,899542
0,01;0,065;0,65;30;1520;0,894118;13766;0,899739
0,01;0,065;0,65;20;1523;0,895882;13773;0,900196
0,01;0,085;0,85;30;1518;0,892941;13777;0,900458
0,01;0,085;0,85;20;1520;0,894118;13759;0,899281
0,025;0,075;0,875;36;1306;0,768235;11952;0,781176
0,025;0,075;0,875;24;1311;0,771176;11920;0,779085
