t0;tinc;ta;n carac;acertos teste;% acertos teste;acertos treino;% acertos treino
0.010000;0.015000;0.150000;50;1558;0.916471;14072;0.919739
0.010000;0.015000;0.150000;50;1555;0.914706;14080;0.920261
0.010000;0.025000;0.250000;50;1552;0.912941;14089;0.920850
0.010000;0.025000;0.250000;50;1558;0.916471;14090;0.920915
0.010000;0.035000;0.350000;50;1548;0.910588;14042;0.917778
0.010000;0.035000;0.350000;50;1549;0.911176;14063;0.919150
0.010000;0.045000;0.450000;50;1546;0.909412;14037;0.917451
0.010000;0.045000;0.450000;50;1548;0.910588;14038;0.917516
0.010000;0.050000;0.500000;50;1552;0.912941;14101;0.921634
0.010000;0.050000;0.500000;50;1554;0.914118;14089;0.920850
0.010000;0.055000;0.550000;50;1548;0.910588;14068;0.919477
0.010000;0.055000;0.550000;50;1549;0.911176;14069;0.919542
0.010000;0.065000;0.650000;50;1550;0.911765;14060;0.918954
0.010000;0.065000;0.650000;50;1548;0.910588;14068;0.919477
0.010000;0.075000;0.750000;50;1548;0.910588;14034;0.917255
0.010000;0.075000;0.750000;50;1550;0.911765;14047;0.918105
0.010000;0.085000;0.850000;50;1548;0.910588;14057;0.918758
0.010000;0.085000;0.850000;50;1553;0.913529;14058;0.918824
0.010000;0.087500;0.875000;50;1550;0.911765;14069;0.919542
0.010000;0.087500;0.875000;50;1552;0.912941;14088;0.920784
