t0;tinc;ta;n carac;acertos teste;% acertos teste;acertos treino;% acertos treino
0.010000;0.015000;0.150000;30;1313;0.772353;11928;0.779608
0.010000;0.015000;0.150000;20;1312;0.771765;11926;0.779477
0.010000;0.025000;0.250000;30;1315;0.773529;11935;0.780065
0.010000;0.025000;0.250000;20;1315;0.773529;11935;0.780065
0.010000;0.035000;0.350000;30;1310;0.770588;11921;0.779150
0.010000;0.035000;0.350000;20;1314;0.772941;11928;0.779608
0.010000;0.045000;0.450000;30;1311;0.771176;11941;0.780458
0.010000;0.045000;0.450000;20;1316;0.774118;11921;0.779150
0.010000;0.050000;0.500000;30;1306;0.768235;11930;0.779739
0.010000;0.050000;0.500000;20;1304;0.767059;11933;0.779935
0.010000;0.055000;0.550000;30;1307;0.768824;11926;0.779477
0.010000;0.055000;0.550000;20;1310;0.770588;11921;0.779150
0.010000;0.065000;0.650000;30;1305;0.767647;11938;0.780261
0.010000;0.065000;0.650000;20;1308;0.769412;11932;0.779869
0.010000;0.075000;0.750000;30;1299;0.764118;11930;0.779739
0.010000;0.075000;0.750000;20;1302;0.765882;11917;0.778889
0.010000;0.085000;0.850000;30;1307;0.768824;11917;0.778889
0.010000;0.085000;0.850000;20;1309;0.770000;11922;0.779216
0.010000;0.087500;0.875000;30;1312;0.771765;11949;0.780980
0.010000;0.087500;0.875000;20;1307;0.768824;11934;0.780000
