t0;tinc;ta;n carac;acertos teste;% acertos teste;acertos treino;% acertos treino
0.010000;0.015000;0.150000;30;1522;0.895294;13766;0.899739
0.010000;0.015000;0.150000;20;1518;0.892941;13766;0.899739
0.010000;0.025000;0.250000;30;1525;0.897059;13760;0.899346
0.010000;0.025000;0.250000;20;1521;0.894706;13759;0.899281
0.010000;0.035000;0.350000;30;1519;0.893529;13764;0.899608
0.010000;0.035000;0.350000;20;1523;0.895882;13773;0.900196
0.010000;0.045000;0.450000;30;1521;0.894706;13765;0.899673
0.010000;0.045000;0.450000;20;1517;0.892353;13759;0.899281
0.010000;0.050000;0.500000;30;1523;0.895882;13762;0.899477
0.010000;0.050000;0.500000;20;1522;0.895294;13763;0.899542
0.010000;0.055000;0.550000;30;1522;0.895294;13761;0.899412
0.010000;0.055000;0.550000;20;1523;0.895882;13761;0.899412
0.010000;0.065000;0.650000;30;1520;0.894118;13766;0.899739
0.010000;0.065000;0.650000;20;1523;0.895882;13773;0.900196
0.010000;0.075000;0.750000;30;1522;0.895294;13769;0.899935
0.010000;0.075000;0.750000;20;1528;0.898824;13768;0.899869
0.010000;0.085000;0.850000;30;1518;0.892941;13777;0.900458
0.010000;0.085000;0.850000;20;1520;0.894118;13759;0.899281
0.010000;0.087500;0.875000;30;1522;0.895294;13773;0.900196
0.010000;0.087500;0.875000;20;1523;0.895882;13759;0.899281
